EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,DistanceFromHome,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,OverTime,PerformanceRating,Attrition
E1067,46,Male,Single,Operations,Supply Chain Coordinator,1,Marketing,Travel_Frequently,28,7947,19,3,2,20,4,2,3,3,2,2,No,2,No
E1068,49,Female,Divorced,Marketing,Marketing Manager,3,Life Sciences,Non-Travel,3,7300,13,9,1,17,3,2,2,4,1,2,Yes,2,No
E1069,56,Female,Married,Finance,Finance Manager,4,Life Sciences,Travel_Rarely,25,5429,1,1,1,1,5,2,1,3,1,4,Yes,2,Yes
E1070,39,Male,Married,R&D,Lab Technician,3,Other,Non-Travel,23,9274,11,2,1,13,0,3,1,1,1,1,No,2,No
E1071,45,Male,Married,Sales,Account Manager,3,Other,Travel_Rarely,4,6714,6,6,0,7,0,4,4,2,3,2,Yes,2,Yes
E1072,54,Female,Married,HR,HR Manager,4,Life Sciences,Travel_Rarely,21,7961,17,5,4,19,4,1,2,4,1,3,Yes,2,Yes
E1073,55,Male,Married,R&D,R&D Manager,4,Medical,Non-Travel,16,6739,4,4,2,5,4,3,2,2,4,2,Yes,3,Yes
E1074,54,Male,Married,Marketing,Brand Manager,1,Other,Non-Travel,3,8554,11,1,1,14,6,3,2,2,1,2,No,3,No
E1075,40,Male,Married,IT,Software Engineer,3,Medical,Travel_Rarely,18,9798,19,9,6,23,4,3,4,1,1,3,No,2,No
E1076,43,Male,Divorced,Marketing,Marketing Manager,1,Technical Degree,Travel_Rarely,25,5042,0,0,0,4,5,2,2,4,2,2,No,3,Yes
E1077,28,Female,Single,Sales,Account Manager,1,Other,Travel_Rarely,4,6440,8,2,2,8,6,3,3,2,2,4,No,3,Yes
E1078,42,Female,Married,Marketing,Marketing Manager,5,Medical,Travel_Rarely,7,9506,19,10,3,20,2,2,3,4,4,2,Yes,3,No
E1079,27,Male,Divorced,Sales,Account Manager,4,Business,Travel_Frequently,25,6101,4,4,4,12,1,4,3,2,1,2,Yes,3,No
E1080,38,Female,Married,Sales,Sales Executive,2,Medical,Travel_Frequently,29,5274,0,0,0,3,4,4,1,4,4,4,No,3,No
E1081,25,Male,Married,Operations,Operations Analyst,3,Medical,Travel_Rarely,26,6091,7,4,4,16,6,2,2,1,1,1,Yes,2,No
E1082,26,Female,Divorced,R&D,R&D Manager,2,Life Sciences,Travel_Rarely,10,9193,8,7,5,11,4,1,4,4,4,2,No,2,No
E1083,33,Female,Single,IT,IT Support,5,Business,Travel_Frequently,5,7468,0,0,0,4,3,4,2,4,4,1,No,3,Yes
E1084,45,Male,Single,Operations,Operations Analyst,5,Life Sciences,Non-Travel,16,4384,0,0,0,3,3,1,4,3,1,4,No,3,No
E1085,23,Male,Divorced,Operations,Operations Analyst,4,Technical Degree,Travel_Rarely,19,6201,5,2,0,7,3,2,4,1,4,3,No,3,Yes
E1086,28,Male,Single,Operations,Ops Manager,5,Life Sciences,Travel_Rarely,22,7772,10,10,4,18,5,2,3,3,3,4,No,3,No
E1087,27,Male,Married,IT,IT Support,4,Other,Travel_Frequently,8,6579,6,6,6,13,2,3,3,1,2,3,No,2,Yes
E1088,35,Female,Married,IT,IT Manager,5,Technical Degree,Travel_Frequently,24,5844,0,0,0,5,2,2,1,4,4,3,No,2,No
E1089,36,Female,Married,Sales,Sales Executive,5,Life Sciences,Travel_Frequently,9,6563,7,3,3,11,3,3,2,3,2,4,No,3,No
E1090,58,Female,Single,Customer Support,Support Team Lead,4,Other,Travel_Rarely,14,5021,5,3,3,12,5,4,4,4,2,4,Yes,3,No
E1091,53,Male,Single,HR,HR Manager,1,Marketing,Travel_Rarely,2,5454,3,3,3,11,5,2,1,4,1,2,No,2,No
E1092,33,Male,Single,R&D,R&D Manager,1,Business,Travel_Frequently,21,7101,0,0,0,1,6,2,3,4,1,4,Yes,3,No
E1093,39,Female,Married,IT,IT Support,2,Human Resources,Travel_Rarely,12,8780,17,9,2,25,4,4,2,3,1,3,No,2,No
E1094,27,Male,Married,IT,Software Engineer,4,Human Resources,Travel_Rarely,20,6257,3,3,3,8,3,4,3,3,3,2,No,3,No
E1095,57,Male,Single,Marketing,Marketing Specialist,2,Technical Degree,Travel_Rarely,9,8813,20,4,4,20,5,1,3,2,1,2,Yes,2,No
E1096,31,Female,Single,Operations,Ops Manager,3,Technical Degree,Travel_Frequently,5,6346,6,6,0,12,4,4,1,4,2,4,No,2,No
E1097,35,Male,Married,Sales,Account Manager,2,Marketing,Travel_Frequently,25,7097,8,0,0,16,2,4,4,4,1,1,Yes,2,No
E1098,26,Male,Married,R&D,Research Scientist,1,Technical Degree,Travel_Frequently,29,6402,0,0,0,4,2,3,1,4,1,2,No,3,Yes
E1099,58,Male,Divorced,Marketing,Marketing Specialist,4,Business,Travel_Rarely,6,8948,22,11,7,23,6,2,4,4,1,1,No,2,No
E1100,44,Male,Divorced,Customer Support,Support Team Lead,3,Medical,Travel_Frequently,27,5624,16,0,0,23,3,4,1,3,3,3,No,3,No
E1101,57,Male,Married,R&D,Research Scientist,3,Human Resources,Non-Travel,5,11038,16,10,5,20,6,2,2,2,1,3,No,2,No
E1102,54,Male,Married,Marketing,Brand Manager,3,Business,Travel_Rarely,24,5038,2,2,2,2,4,1,3,1,2,3,No,3,Yes
E1103,54,Male,Married,Sales,Sales Manager,1,Other,Non-Travel,3,8144,19,3,3,23,0,4,4,4,2,3,No,3,No
E1104,26,Female,Married,Marketing,Marketing Manager,5,Technical Degree,Non-Travel,5,7360,8,8,6,9,4,3,2,3,2,3,No,3,No
E1105,44,Male,Married,R&D,Lab Technician,5,Life Sciences,Travel_Rarely,13,7973,6,6,1,13,4,3,3,4,4,2,Yes,4,No
E1106,25,Male,Married,Sales,Sales Manager,2,Business,Non-Travel,19,7483,7,1,0,12,1,4,2,1,4,1,No,3,No
E1107,30,Female,Single,Sales,Sales Manager,5,Marketing,Travel_Rarely,17,7294,12,1,1,14,0,3,1,1,3,2,No,2,No
E1108,39,Female,Single,Finance,Finance Manager,2,Other,Travel_Rarely,11,8265,12,5,5,21,3,2,2,1,4,2,No,2,No
E1109,41,Female,Single,HR,HR Specialist,3,Human Resources,Travel_Rarely,9,7126,20,2,1,23,1,2,4,1,2,1,No,2,No
E1110,48,Male,Single,Operations,Operations Analyst,4,Medical,Non-Travel,5,7154,20,10,2,21,3,1,1,4,2,1,Yes,3,No
E1111,44,Male,Single,R&D,R&D Manager,1,Other,Travel_Frequently,11,5416,0,0,0,5,5,2,2,1,4,3,No,3,Yes
E1112,55,Male,Single,Operations,Supply Chain Coordinator,3,Medical,Travel_Frequently,18,6822,10,10,7,16,5,3,3,2,1,4,No,3,No
E1113,39,Male,Single,R&D,R&D Manager,3,Medical,Non-Travel,2,6578,3,3,2,7,2,4,2,4,2,3,Yes,2,No
E1114,34,Female,Divorced,Marketing,Brand Manager,2,Life Sciences,Travel_Rarely,23,7005,15,3,3,16,3,2,4,1,4,2,Yes,2,No
E1115,55,Female,Single,Sales,Account Manager,2,Other,Travel_Frequently,26,9200,17,0,0,17,4,1,1,4,4,2,No,2,Yes
E1116,55,Female,Married,Operations,Operations Analyst,1,Human Resources,Travel_Rarely,8,7943,22,7,6,24,3,2,2,1,3,4,No,2,No
E1117,37,Female,Single,Operations,Supply Chain Coordinator,1,Other,Travel_Rarely,27,5653,5,5,4,13,1,1,3,2,1,1,No,1,Yes
E1118,31,Male,Married,Sales,Sales Executive,5,Medical,Travel_Rarely,5,6889,13,0,0,13,5,3,3,4,2,4,No,3,No
E1119,22,Male,Married,Marketing,Marketing Specialist,2,Human Resources,Non-Travel,25,5856,2,2,2,8,0,4,3,1,3,1,No,3,Yes
E1120,31,Male,Single,Operations,Ops Manager,3,Other,Travel_Rarely,20,6884,13,7,7,15,5,2,2,2,1,2,No,2,No
E1121,22,Male,Divorced,Customer Support,Support Team Lead,1,Human Resources,Travel_Rarely,8,4138,4,4,4,4,2,3,3,3,2,1,No,3,No
E1122,46,Female,Single,Sales,Account Manager,2,Other,Non-Travel,26,8792,17,2,2,21,6,4,4,2,3,3,No,3,No
E1123,39,Female,Single,HR,HR Specialist,3,Life Sciences,Travel_Frequently,15,7279,12,5,1,17,6,3,2,4,4,4,No,3,Yes
E1124,57,Male,Divorced,IT,IT Support,4,Medical,Travel_Rarely,17,10319,15,6,0,16,1,2,1,3,4,3,Yes,3,No
E1125,59,Female,Married,Customer Support,Support Team Lead,1,Business,Travel_Frequently,21,6280,11,10,1,15,3,4,3,1,4,1,No,3,No
E1126,55,Male,Single,Operations,Ops Manager,5,Business,Non-Travel,5,8189,14,5,3,17,5,2,3,4,3,1,No,2,No
E1127,42,Male,Divorced,R&D,Lab Technician,2,Technical Degree,Travel_Rarely,23,6946,2,2,0,8,1,3,3,4,4,3,No,3,No
E1128,41,Female,Married,Marketing,Brand Manager,3,Technical Degree,Non-Travel,13,5656,0,0,0,9,4,3,4,1,2,4,No,2,No
E1129,37,Female,Married,HR,HR Manager,1,Technical Degree,Non-Travel,2,4773,0,0,0,2,4,4,1,3,2,3,No,3,No
E1130,32,Female,Divorced,Finance,Finance Manager,3,Business,Travel_Rarely,1,8655,14,0,0,14,0,2,2,1,1,2,No,2,Yes
E1131,45,Male,Married,Operations,Operations Analyst,4,Marketing,Travel_Rarely,16,8595,15,5,3,15,1,1,4,2,1,2,Yes,2,Yes
E1132,39,Male,Divorced,IT,Software Engineer,5,Life Sciences,Travel_Frequently,26,11259,17,4,4,23,3,2,3,4,1,2,No,2,No
E1133,54,Female,Married,Sales,Sales Executive,1,Life Sciences,Travel_Rarely,19,6447,10,7,2,13,4,1,2,4,1,2,No,2,No
E1134,38,Male,Single,Operations,Supply Chain Coordinator,1,Technical Degree,Travel_Rarely,18,5807,0,0,0,0,0,4,4,2,2,4,No,4,No
E1135,34,Male,Married,IT,IT Support,5,Human Resources,Travel_Frequently,11,7839,12,5,1,13,6,3,2,2,2,3,No,3,No
E1136,38,Male,Single,R&D,R&D Manager,4,Human Resources,Travel_Rarely,10,8475,12,10,2,15,6,1,1,1,2,4,No,2,No
E1137,52,Male,Single,R&D,Lab Technician,5,Other,Travel_Rarely,9,6138,0,0,0,4,6,4,2,4,3,4,No,4,No
E1138,32,Male,Divorced,Finance,Finance Manager,3,Marketing,Travel_Rarely,24,8403,7,7,3,13,3,2,2,3,1,3,No,2,No
E1139,23,Male,Divorced,Sales,Sales Executive,1,Other,Travel_Rarely,19,5763,0,0,0,6,0,1,2,3,4,3,No,2,No
E1140,48,Male,Married,Marketing,Marketing Manager,3,Technical Degree,Travel_Rarely,20,6082,3,3,3,11,1,1,1,4,3,4,No,2,No
E1141,36,Male,Divorced,Finance,Accountant,2,Other,Travel_Rarely,19,8051,12,5,5,14,3,1,3,4,1,2,No,1,No
E1142,34,Female,Married,Operations,Ops Manager,1,Marketing,Travel_Frequently,23,5803,8,0,0,10,2,1,3,1,2,3,Yes,2,Yes
E1143,35,Male,Married,Marketing,Brand Manager,2,Business,Travel_Frequently,7,4680,0,0,0,7,6,3,4,1,3,1,Yes,3,No
E1144,43,Male,Divorced,Sales,Sales Manager,1,Business,Travel_Rarely,7,6426,9,9,4,15,0,2,3,4,1,1,No,2,No
E1145,39,Male,Single,Sales,Sales Executive,2,Other,Travel_Frequently,19,5509,0,0,0,7,0,1,3,3,1,4,No,2,No
E1146,21,Male,Married,R&D,Research Scientist,1,Medical,Non-Travel,23,6531,0,0,0,8,4,1,4,2,2,3,No,2,Yes
E1147,41,Male,Divorced,Operations,Supply Chain Coordinator,4,Business,Travel_Rarely,27,5173,0,0,0,7,3,1,4,1,1,1,No,2,Yes
E1148,54,Male,Married,R&D,Research Scientist,5,Human Resources,Travel_Rarely,2,7259,5,5,0,10,2,4,1,2,3,1,No,3,Yes
E1149,32,Male,Divorced,R&D,Lab Technician,1,Medical,Non-Travel,17,6932,0,0,0,4,6,1,2,3,1,1,No,3,No
E1150,56,Female,Divorced,Sales,Sales Executive,3,Human Resources,Travel_Rarely,1,7661,7,4,4,13,1,4,4,4,1,2,No,2,No
E1151,26,Female,Divorced,HR,Recruiter,3,Human Resources,Travel_Rarely,17,6848,8,6,6,12,5,2,2,1,1,2,No,2,Yes
E1152,49,Male,Married,IT,Software Engineer,1,Marketing,Travel_Rarely,6,12067,18,9,1,23,0,3,1,3,2,2,No,2,No
E1153,56,Male,Single,Sales,Sales Manager,5,Marketing,Travel_Rarely,19,8236,18,6,3,27,1,3,1,3,1,2,Yes,2,No
E1154,53,Male,Divorced,Operations,Operations Analyst,3,Medical,Travel_Frequently,9,4966,2,2,2,6,2,1,4,2,2,4,No,3,No
E1155,45,Male,Married,Sales,Account Manager,5,Life Sciences,Travel_Rarely,9,9643,16,6,3,24,1,2,2,2,4,1,No,2,No
E1156,32,Female,Married,Customer Support,Support Representative,4,Other,Travel_Rarely,10,3944,2,1,1,10,5,1,1,3,2,3,No,2,Yes
E1157,23,Male,Single,Marketing,Marketing Specialist,3,Other,Travel_Rarely,26,5340,4,4,4,13,1,1,2,3,2,3,No,2,No
E1158,46,Male,Married,Sales,Sales Executive,1,Life Sciences,Non-Travel,16,6776,8,6,2,17,0,4,4,3,2,1,Yes,3,No
E1159,46,Female,Single,Customer Support,Support Representative,4,Life Sciences,Travel_Frequently,14,5481,12,1,1,13,3,4,1,4,3,4,No,3,No
E1160,29,Male,Married,R&D,R&D Manager,3,Medical,Travel_Rarely,13,9683,11,11,0,18,5,4,4,2,3,2,No,4,No
E1161,24,Male,Divorced,Operations,Operations Analyst,3,Business,Travel_Frequently,25,5817,0,0,0,9,5,3,4,3,4,3,No,3,No
E1162,52,Male,Divorced,R&D,Lab Technician,2,Business,Travel_Rarely,4,8950,7,0,0,9,5,1,2,3,1,3,No,2,No
E1163,37,Male,Divorced,R&D,Lab Technician,2,Life Sciences,Travel_Frequently,8,8177,9,9,7,15,4,1,3,3,3,1,Yes,2,Yes
E1164,39,Male,Divorced,Sales,Sales Manager,3,Other,Travel_Rarely,19,8407,15,2,2,20,0,4,4,4,3,1,No,3,No
E1165,23,Male,Single,R&D,R&D Manager,5,Technical Degree,Non-Travel,28,5637,0,0,0,2,6,4,2,4,3,2,No,3,No
E1166,59,Female,Married,R&D,Lab Technician,2,Technical Degree,Travel_Rarely,2,7771,12,11,7,12,0,3,1,1,3,2,No,3,No
E1167,59,Male,Married,Sales,Account Manager,5,Business,Travel_Frequently,24,7800,8,5,0,8,0,3,1,4,2,2,Yes,3,Yes
E1168,56,Male,Single,Sales,Account Manager,2,Life Sciences,Travel_Rarely,29,6087,9,6,5,9,6,2,3,1,1,1,No,2,No
E1169,37,Male,Married,Sales,Account Manager,4,Technical Degree,Travel_Frequently,23,4654,0,0,0,0,2,3,4,4,3,3,Yes,2,No
E1170,28,Male,Married,IT,IT Support,1,Human Resources,Travel_Frequently,6,5665,0,0,0,8,5,1,3,4,1,4,Yes,3,No
E1171,45,Female,Divorced,R&D,Lab Technician,1,Life Sciences,Travel_Rarely,1,10720,15,6,1,24,2,4,4,4,2,1,No,3,No
E1172,55,Female,Divorced,IT,IT Manager,1,Human Resources,Non-Travel,8,6395,3,3,3,12,4,1,1,2,1,4,No,2,Yes
E1173,47,Female,Married,HR,Recruiter,4,Medical,Travel_Rarely,17,5684,5,0,0,9,4,2,4,2,3,4,No,3,No
E1174,37,Male,Divorced,Finance,Financial Analyst,3,Medical,Non-Travel,17,6534,4,1,1,6,1,3,3,1,2,3,No,3,No
E1175,21,Male,Married,R&D,R&D Manager,1,Human Resources,Non-Travel,4,7138,3,3,3,5,0,4,3,1,3,3,No,3,No
E1176,32,Male,Single,Marketing,Marketing Specialist,2,Life Sciences,Non-Travel,21,6145,0,0,0,9,3,2,4,2,1,2,No,2,Yes
E1177,58,Female,Married,R&D,Lab Technician,2,Other,Travel_Rarely,21,7934,3,3,2,11,4,2,2,3,1,3,No,2,No
E1178,33,Male,Divorced,Marketing,Brand Manager,1,Medical,Non-Travel,16,6261,1,1,1,4,4,2,4,1,1,4,No,2,Yes
E1179,27,Male,Divorced,R&D,Research Scientist,5,Human Resources,Travel_Rarely,28,6404,0,0,0,9,4,1,1,3,3,1,Yes,2,Yes
E1180,43,Male,Married,Sales,Account Manager,2,Technical Degree,Non-Travel,12,8330,11,7,5,13,4,1,1,3,4,4,No,3,No
E1181,22,Male,Divorced,R&D,R&D Manager,1,Human Resources,Travel_Rarely,24,7524,4,4,4,12,2,2,2,2,1,2,Yes,2,Yes
E1182,46,Male,Single,Sales,Account Manager,2,Marketing,Travel_Rarely,2,9663,18,7,3,19,0,3,1,1,1,3,No,2,No
E1183,39,Male,Single,R&D,R&D Manager,2,Human Resources,Travel_Rarely,23,8909,11,11,4,18,2,4,3,1,2,4,No,3,No
E1184,54,Female,Married,R&D,R&D Manager,3,Other,Travel_Rarely,13,7370,10,6,3,19,2,4,3,2,4,3,No,3,No
E1185,40,Male,Married,Operations,Operations Analyst,4,Life Sciences,Travel_Frequently,14,7248,8,4,0,9,2,4,1,1,2,4,No,3,No
E1186,21,Male,Married,Customer Support,Support Representative,1,Marketing,Travel_Rarely,1,3672,0,0,0,2,4,2,1,4,3,4,No,2,No
E1187,57,Male,Married,Sales,Sales Manager,5,Other,Non-Travel,15,8319,11,3,3,13,1,2,4,4,2,4,No,2,No
E1188,21,Female,Married,Operations,Operations Analyst,1,Marketing,Travel_Rarely,26,5780,3,3,3,9,6,3,1,2,1,3,Yes,3,No
E1189,44,Female,Married,IT,IT Manager,5,Human Resources,Travel_Rarely,14,7065,2,2,2,3,1,1,2,3,3,3,No,3,No
